,day_ratio,evening_ratio,night_ratio,median_purchase_price_percentile,q1_purchase_price_percentile,q3_purchase_price_percentile,min_purchase_price_percentile,max_purchase_price_percentile,Age,gender,number_purchase
35,0.394468376068,0.474346089421,0.732753623188,0.787878787879,0.794117647059,0.787878787879,0.529411764706,0.911764705882,0.583333333333,1.0,0.097192224622
112,0.518488247863,0.225848795258,0.930253623188,0.272727272727,0.264705882353,0.424242424242,0.411764705882,0.852941176471,0.0416666666667,1.0,0.235421166307
59,0.799531388152,0.197965957106,0.23688155922,0.121212121212,0.117647058824,0.121212121212,0.264705882353,0.205882352941,0.416666666667,0.0,0.0194384449244
41,0.360047483381,0.810935016965,0.254428341385,0.909090909091,0.941176470588,0.878787878788,0.764705882353,0.882352941176,0.791666666667,1.0,0.0259179265659
80,0.578666666667,0.419124468496,0.386413043478,0.0,0.0588235294118,0.0,0.205882352941,0.0294117647059,0.166666666667,0.0,0.10151187905
63,0.675897435897,0.488596830305,0.166199158485,0.636363636364,0.676470588235,0.606060606061,0.911764705882,0.529411764706,0.833333333333,1.0,0.0431965442765
33,0.690217677589,0.335541289996,0.186785761198,0.575757575758,0.411764705882,0.636363636364,0.0,0.529411764706,1.0,0.0,0.831533477322
5,0.559251827078,0.317027351548,0.663726107961,0.515151515152,0.382352941176,0.484848484848,0.176470588235,0.470588235294,0.541666666667,1.0,0.447084233261
67,0.298663303909,0.869562186722,0.394155381326,0.333333333333,0.558823529412,0.30303030303,0.764705882353,0.235294117647,0.291666666667,1.0,0.131749460043
15,0.906292084727,0.150562175426,0.0896030245747,0.242424242424,0.176470588235,0.242424242424,0.264705882353,0.117647058824,0.416666666667,1.0,0.157667386609
50,0.528430769231,0.297636902461,0.595362318841,0.969696969697,0.970588235294,0.939393939394,0.970588235294,0.794117647059,0.458333333333,0.0,0.105831533477
11,0.475110211426,0.451094880611,0.723112128146,0.727272727273,0.705882352941,0.69696969697,0.235294117647,0.705882352941,0.333333333333,0.0,0.222462203024
46,0.613142282554,0.637690716024,0.0673486786019,0.606060606061,0.647058823529,0.727272727273,0.735294117647,0.823529411765,0.916666666667,1.0,0.036717062635
38,0.662393162393,0.401270861731,0.120518688024,0.181818181818,0.5,0.181818181818,0.0,0.0588235294118,0.666666666667,1.0,0.0259179265659
53,0.869187519308,0.186167165764,0.124148768989,0.151515151515,0.294117647059,0.212121212121,0.676470588235,0.647058823529,0.666666666667,0.0,0.287257019438
44,0.542783882784,0.420251440352,0.59972394755,0.757575757576,0.823529411765,0.666666666667,0.617647058824,0.764705882353,0.958333333333,0.0,0.0799136069114
7,0.662393162393,0.285014817678,0.357789855072,1.0,1.0,1.0,1.0,0.735294117647,0.5,1.0,0.0
101,0.513291183702,0.514114301751,0.470518165575,0.0606060606061,0.0882352941176,0.030303030303,0.470588235294,0.0,0.0,1.0,0.0691144708423
24,0.453076923077,0.688921530731,0.274782608696,0.363636363636,0.352941176471,0.454545454545,0.647058823529,0.5,0.958333333333,1.0,0.0626349892009
43,0.695781028787,0.329540576882,0.252867431315,0.848484848485,0.764705882353,0.848484848485,0.147058823529,1.0,0.375,1.0,0.285097192225
109,0.439716312057,0.613994687019,0.36540240518,0.545454545455,0.588235294118,0.515151515152,0.117647058824,0.588235294118,0.166666666667,1.0,0.0561555075594
37,0.600659340659,0.423159754818,0.316569825686,0.030303030303,0.0,0.0606060606061,0.0,0.411764705882,0.708333333333,0.0,1.0
32,0.871709401709,0.10469932078,0.163561076605,0.212121212121,0.235294117647,0.0909090909091,0.441176470588,0.264705882353,0.541666666667,0.0,0.0
22,1.0,0.0,0.0,0.363636363636,0.323529411765,0.363636363636,0.764705882353,0.0882352941176,0.75,1.0,0.0107991360691
